
Altitude profile  (12:45Z -> 14:05Z)

  ground -> FL390  width = 70 cols, each col = 558 ft

  time   alt(ft)   vs(fpm)  gs(kt)  |altitude bar                                                          |
  13:42      5727    +1030     249  |//////////                                                            |
  13:43      6058     +298     237  |===========                                                           |
  13:43      6095      -10     234  |===========                                                           |
  13:44      6075      +42     229  |===========                                                           |
  13:44      6100      +13     217  |===========                                                           |
  13:45      6100      -16     210  |===========                                                           |
  13:45      6087      -64     213  |===========                                                           |
  13:46      6075      +35     215  |===========                                                           |
  13:46      6098       +9     219  |===========                                                           |
  13:47      6100       +0     219  |===========                                                           |
  13:47      6100      +32     220  |===========                                                           |
  13:48      6087      -32     221  |===========                                                           |
  13:48      6091      -21     223  |===========                                                           |
  13:49      6086      +44     214  |===========                                                           |
  13:49      6096      -27     214  |===========                                                           |
  13:50      6100      +32     217  |===========                                                           |
  13:50      6095      +21     219  |===========                                                           |
  13:51      6096      +16     219  |===========                                                           |
  13:51      6087     -128     223  |===========                                                           |
  13:52      6081       +8     221  |===========                                                           |
  13:52      6082      -86     235  |===========                                                           |
  13:53      5841     -832     227  |\\\\\\\\\\                                                            |
  13:53      5350     -576     216  |\\\\\\\\\\                                                            |
  13:54      4950     -768     205  |\\\\\\\\\                                                             |
  13:54      4716     -448     207  |========                                                              |
  13:55      4417     -595     212  |\\\\\\\\                                                              |
  13:55      4171     -297     218  |=======                                                               |
  13:56      4125       -4     218  |=======                                                               |
  13:56      4122       +0     219  |=======                                                               |
  13:57      4125       +0     221  |=======                                                               |
  13:57      4120       -5     222  |=======                                                               |
  13:58      4120      +11     209  |=======                                                               |
  13:58      4125      -16     198  |=======                                                               |
  13:59      4100     -298     199  |=======                                                               |
  13:59      3743     -992     199  |\\\\\\\                                                               |
  14:00      3193    -1168     193  |\\\\\\                                                                |
  14:00      2662    -1056     177  |\\\\\                                                                 |
  14:01      2254     -942     167  |\\\\                                                                  |
  14:01      1750     -661     134  |\\\                                                                   |
  14:02      1419     -768     132  |\\\                                                                   |
  14:02      1118     -896     143  |\\                                                                    |
  14:03       700     -768     149  |\                                                                     |
  14:03       203     -603     132  |                                                                      |
  14:04        16      -41      86  |                                                                      |
  14:04         0       +0      34  |                                                                      |
  14:05         0       +0      16  |                                                                      |
